tagalog,english,cebuano
kumain ng pitsi pitsi si fiona,fiona took a bite,ni kaon ug pitsi pitsi si fiona
kare kare ang kinain ni emilio,emilio ate kare kare,kare kare ang gikaon ni emilio
buko pay ang gusto ni nonong,nonong wants knuckles,buko pay ang ganahan ni nonong
buko pie ang gusto ni nonong,nonong likes knuckle pie,ganahan si nonong ug buko pie
kamusta na si dina,how is dina,kamusta na si dina
kumusta na si dina,how is dina,kamusta na si dina
kumain ng espasol si kyle,kyle ate a snack,ni kaon ug espasol si kyle
huwag mong ihugis ang buhay mo sa paghihintay ng malaking gera,don t shape your life around waiting for a big war,ayaw ilabay imohang kinabuhi mo sa paghulat sa daghang gera
gumagawa ng nilupak si oscar,oscar is making pottery,ni himo ug nilupak si oscar
kumakain si benny ng halo halo,benny eats mixed food,naga kaon si benny ug halo halo
mahal ko ang astronomiya,i love astronomy,gihigugma ko ang astronimiya
natutong maigi ang mga pari ng maya tungkol sa astronimya,the maya priests learned a great deal about astronomy,natutong maigi ang mga pari nga maya bahin sa astronimya
eksperto siya sa astronomiya,he is an expert in astronomy,eksperto siya sa astronomiya
agham ng sansinukob ang astronomiya,astronomy is the science of the universe,agham ng sansinukob ang astronomiya
agham ng mga bagay ng langit ang astronomiya,astronomy is the science of celestial objects,agham nga mga butang sa langit ang astronomiya
parang interesado siya sa astronomiya,he seems to be interested in astronomy,murag interesado siya sa astronomiya
ang mga nadiskubre ni galileo ay iniba ang mukha ng astronomiyang magpakailanman,galileo s discoveries changed the face of astronomy forever,ang mga nadiskubre ni galileo kay gi usab ang nawong sa astronomiyang hangtod sa hangtod
binubulay na pundador ng modernong astronomiya si nicolaus copernicus,nicolaus copernicus is considered the founder of modern astronomy,binubulay na pundador sa ulahi nga astronomiya si nicolaus copernicus
nag aral ng matematika at astronomiya sa unibersidad ng krakow si copernicus,copernicus studied mathematics and astronomy at the university of krakow,nag tuon nga matematika ug astronomiya sa unibersidad ng krakow si copernicus
parehong kasabay na pinakaantigo at pinakamodernong agham ang astronomiya,astronomy is both the oldest and the most modern science,parehong kasabay na pinakaantigo ug labing kadaghan agham ang astronomiya
naging interesado si nicolaus copernicus sa astronomiya nang estudyante siya sa unibersidad sa italya,nicolaus copernicus became interested in astronomy when he was a university student in italy,nahimong interesado si nicolaus copernicus sa astronomiya nga nang estudyante siya sa unibersidad sa italya
parang heograpiya ang astronomiya,astronomy is like geography,mura ug heograpiya ang astronomiya
dapat parte iyon ng basikong edukasyon nang katulad ng akin,that should be part of basic education like mine,dapat parte kanang basikong edukasyon nga adunay katulad nako
gusto niya ang siyensiyang piksiyon,he likes science fiction,ganahan siya sa siyensiyang piksyon
mahal niya ang siyensiyang piksiyon,he loves science fiction,gihigugma niya ang siyensiyang piksyon
mas gusto ko ang siyensiyang piksiyon,i prefer science fiction,mas ganahan ko sa siyensiyang piksyon
panatiko siya ng siyensiyang piksiyon,he is a science fiction fanatic,panatiko siya nga siyensiyang piksyon
dilaw ang saging,bananas are yellow,dilaw ang saging
masarap ang saging,bananas are delicious,lami ang saging
nagustuhan ni ang saging,liked the banana,naganahan si sa saging
mahal ko ang saging,i love bananas,gihigugma ko ang saging
may saging kami,we have bananas,naa mi y saging
may saging tayo,we have bananas,aduna tay saging
hinog na ba ang saging na ito,is this banana ripe,hinog ba ni nga saging
namulok na itong saging,this banana has sprouted,namulak na kini nga saging
sino ang umutot,who farted,kinsa nag ni utot
matamis ang saging,bananas are sweet,tam is ang saging
saging lamang ang kinain ko,i only ate bananas,saging ra akong gi kaon
meron bang saging,is there a banana,naa ba y saging
mayroon bang saging,are there bananas,aduna bay saging
saging ako,i m a banana,saging ko
gusto ko ang pritong saging,i like fried bananas,ganahan ko ug pritong saging
gusto ng langaw ang saging,flies like bananas,ganahan ang langaw sa saging
magtalop nang dalawa sa mga saging,peel two of the bananas,magtalop nang duha sa mga saging
di pa hinog ang mga saging na ito,these bananas are not yet ripe,di pa hinog ang mga saging na kini
hindi siya pumayag,he did not agree,wala siya ni sugot
dumating ako kagabi,i arrived last night,ni abot ko gabie
ayokong malaman kung ano ang pangalan niya,i don t want to know what his name is,di ko gusto makahibaw ug unsa iyang ngalan
huwag mong kalimutan kung sino ka,don t forget who you are,ayaw kalimti ug kinsa ka
ako ay nakatira sa malayong nayon,i live in a remote village,nakapuyo ko sa layo nga baryo
nakapunta ka na ba sa amin,have you been to us,naka adto na ba ka sa amoa
kay bango ng dumaang dalaga,because of the scent of the passing girl,ka humo sa ni agi nga dalaga
kay layo ng narating namin,how far we have come,kalayo sa among naabtan
sundan mo ang taong iyon,follow that person,sundi ng nga tawo
tagtuyot na naman tigang ang lupa tuyo ang bukirin,it s drought again the land is dry the fields are dry,tagtuyot napud tigang ang lupa tuyo ang bukirin
sumilong ka muna,take shelter first,palandong usa
inabot ako ng malakas na ulan kahapon,heavy rain hit me yesterday,naabtan kog kusog nga uwan gahapon
busog na busog ako,i am very full,busog kaayo ko
sandali lang kami,we re just a moment,kadali rami
umiinom ka ng tsa,you drink tea,inom ug tsaa
uminom ka ng tsa,you drink tea,inom ug tsaa
uminom ka,you drink,inom
anong inumin,what drink,unsay imnon
umiinom ng kape ako,i drink coffee,ga inom ug kape nako
uminom tayo,let s drink,inom ta
umiinom ng alak si,drinks alcohol,ga inom ug alak si
inumin ang katas na ito,drink this juice,inuma ang duga ani
inumin ang gatas mo,drink your milk,inuma ang imong gatas
uminom po ng tsa,drink some tea,inom ug tsaa
nainom ako ng gatas,i drank milk,naka inom ko ug gatas
nainom ang mga elepante ng tubig,the elephants drank the water,naka inom ko ug tubig sa elepante
nawala na ang makina ng oras,the time machine is gone,nawala na ang makina ng oras
nasaan na ang aking makina ng oras,where is my time machine,asa man ang akong time machine
kung may makina ng oras ka saan ka pupunta,if you had a time machine where would you go,kung adunay ka usa ka makina sa oras asa ka moadto
napakadilim ng gabi,the night was very dark,ngitngit kaayo sa gabii
nasaan ang tinapay,where s the bread,asa man ang tinapay
masakit ang ngipin ko,my tooth hurts,sakit akong ngipon
alam mo ba kung saan tayo pupunta,do you know where we are going,nahibal an ba nimo kung diin kami moadto
grabe ang sipon ko ngayon,i have a bad cold today,grabe ang akong sip on karon
nilagnat ako sa pagkabasa ko sa ulan,i got a fever after getting wet in the rain,gihilantan ko pagkahuman basa sa ulan
napanaginipan kita kagabi,i dreamed of you last night,nagdamgo ko nimo kagabii
hinabol ng pusa ang bubuwit,the cat chased the snake,gigukod sa iring ang ilaga
natalo ang inihalal kong kandidato para sa pangulo dahil dinaya nila ang resulta ng halalan,my elected candidate for president lost because they rigged the election results,ang akong napili nga kandidato pagka presidente napildi tungod kay gilimbungan nila ang sangputanan sa piliay
namili ng boto ang nagwaging gobernador,the winning governor cast his vote,ang nagdaog nga gobernador nagboto alang sa boto
nandaya ang kandidato upang manalo sa eleksiyon,the candidate cheated to win the election,naglimbong ang kandidato aron modaug sa piliay
binilisan niya ang paglalakad upang maabotan niya si gabriela,he sped up walking so he could reach gabriela,gipaspasan niya ang iyang lakaw aron maabot niya ang gabriela
malapit na naman ang botohan para sa mga susunod na mamumuno sa bayan,the polls for the next leaders of the town are coming soon,duol na ang pagboto alang sa sunod nga mga pinuno sa lungsod
hindi na ako maniniwala pa sa iba,i won t trust anyone else anymore,dili na ko motuo sa uban
umalis si kaninang alas kuwatro ng umaga,left this morning at four o clock,naghalin si alas kwatro sa aga
dalawang taon na ang nakaraan sapul nang iwanan niya ako,it s been two years since he left me,duha ka tuig na ang nakalabay sukad nga gibiyaan niya ako
nagbayad na ako sa iyo,i have paid you,gibayran na tika
ang pinakamahalagang organo ng sex ay ang utak,the most important sex organ is the brain,ang labing hinungdanon nga organo sa pakigsekso mao ang utok
masaya ako at nalaman kong nasa mabuti siyang kalagayan,i am happy and know that he is in good condition,malipayon ko ug nahibal an nako nga naa siya sa maayong porma
halika dito may ipapakita ako sa iyo,come here i have something to show you,dali ngari adunay ako ipakita kanimo
basa ang tuwalya,the towel is wet,basa ang tualya
kakaunti ang tao sa dalampasigan,there are few people on the beach,gamay ra ang mga tawo sa baybayon
hindi ako nagsisinungaling,i m not lying,dili ako namakak
tumapak ka sa timbangan,step on the scale,pagtunob ka sa timbangan
hindi dumating ang mga magulang mo di ba,your parents didn t come did they,wala moanhi ang imong ginikanan dili ba
kaarawan ko ngayon,today is my birthday,karon ang akong adlawng natawhan
labing walo ko na,i m eighteen,dise otso anyos ako
walang nakakaalam na kaarawan ko ngayon,nobody knows it s my birthday today,wala y nakahibalo sa akong adlaw ng natawhan karon
ikinararangal ko,i honor,gipasidunggan ako
nahihilo ako,i m dizzy,nalipong ko
nakapaa siyang naglakad,he walked on his feet,naglakaw siya nga nagtiniil
mabuti na ang aking pakiramdam,i feel good now,maayo ang akong pamati
nalulungkot ako,i m sad,naguol ko
para akong hihimatayin,i feel like i m going to faint,murag nakuyapan ko
umuwi ka na at magpalit ng damit,go home and change your clothes,pauli ug ilisan ang imong sinina
pakikuha mo nga ako ng kape,please get me a coffee,palihug hatagi ko ug kape
gusto mo ng kape,do you want coffee,gusto nimo kape
hindi niya napigilan ang maluha,he couldn t stop the tears,wala niya mapugngi ang luha
putangina nakalimutan ko ang password ko,putangina i forgot my password,putang ina nakalimot ko sa akong password
hinihingal siyang umakyat ng bundok,he was out of breath climbing the mountain,nahingangha siya sa iyang pagsaka sa bukid
malamang na galit sa akin ang aking kaibigan dahil hindi niya ako kinikibo,my friend must be mad at me because he doesn t move,tingali nasuko ang akong higala sa akon nga wala niya ako hilabti
magaling siyang magpasaring sa facebook,he is good at connecting to facebook,maayo siya sa pagsundog sa facebook
hindi ako nagdiriwang ng araw ng aking kapanganakan,i don t celebrate my birthday,wala ko gisaulog ang akong birthday
simulan na natin,let s get started,magsugod na ta
magrelaks tayo,let s relax,relaks ta
mag isa akong kumain,i ate alone,nag inusara akong nagkaon
nagpatiwakal siya sa edad na tatlumpo,he committed suicide at the age of thirty,naghikog siya sa edad nga traynta
nahihiya siyang magpasuso sa publiko,she is ashamed to breastfeed in public,naulaw siya magpasuso sa publiko
kinakailangan kong pasusuhin ang aking sanggol,i have to breastfeed my baby,kinahanglan nako magpasuso sa akong bata
kagigising ko,i just woke up,nakamata ko
umaga na pala,it s morning,buntag na
gabi na,it s night,gabie na
hapon na,it s afternoon,hapon na
lumulubog na ang araw sa kanluran,the sun is setting in the west,ang adlaw mosalop sa kasadpan
nawala ko ang relong bigay ng tatay ko,i lost the watch my father gave me,nawad an ako sa relo nga gihatag sa akong amahan
siyam ang buhay ng pusa,a cat has nine lives,ang iring adunay siyam ka kinabuhi
bakit mo ginawa ito sa akin,why did you do this to me,ngano nga nabuhat mo kini kanako
sa palagay mo babalikan kaya nila ako,do you think they will come back to me,sa imong hunahuna mobalik ba sila kanako
naiintindihan talaga ako ng aking matalik na kaibigan,my best friend really understands me,nasabtan gyud ko sa akong suod nga higala
sumisipol siya habang naglalakad,he whistled as he walked,nagsirit siya samtang naglakaw
nanganak siya ng kambal,she gave birth to twins,nanganak siya og kaluha
iisa ang bayag ni,s voice is the same,ang testicle ni usa ra
nahihirapan nang tumigas ang titi ni,s cock was getting hard,ang oten ni migahi nga gahi
nahihirapan nang tigasan si,was struggling hard,naglisud si ma utgan
hindi nasarapan si nang una silang magtalik ni,did not enjoy it when she and first had sex,wala ganahi si kaniadtong una silang nag kayat ni
hindi dinugo si sa una nilang pagtatalik ni,did not bleed when she and first had sex,wala nagdugo si sa una nila nga pakigsekso kay
masarap ang kantot,the fuck is good,lami ang kayat
limampu t dalawang bahagdan ng mga babaing briton ang mas gusto ang tsokolate kaysa kantot,fifty two percent of british women prefer chocolate to dick,singkwentay dos porsyento sa mga kababayen an sa britanya ang gusto sa tsokolate kaysa sa pag kayat
duwag si takot siya sa sarili niyang anino,is a coward he is afraid of his own shadow,si talawan nahadlok siya sa kaugalingon niyang anino
bumalik ka dito duwag,get back here coward,balik dinhi talawan
sinabi ko kay na isa siyang duwag,i told he was a coward,gisultihan ko siya usa ka talawan
ginawa mong isang hangal ang iyong sarili,you made a fool of yourself,gibuhat nimo ang buang sa imong kaugalingon
may anghit si,has a mustache,nakapanghupaw si
masakit pero kailangang limutin na natin ang lahat,it hurts but we have to forget everything,sakit man pero kinahanglan nakong kalimtan ang tanan
malapit na niyang matapos ang binabasa niyang makapal na aklat,he was about to finish the thick book he was reading,hapit na niya matapos ang baga nga libro nga iyang gibasa
tumigil muna siyang mag aral sa kolehiyo dahil wala na siyang gagastusin,he stopped going to college because he had nothing to spend,niundang siya sa pag adto sa kolehiyo una tungod kay wala siya gasto
isang linggo nang hindi pinapalitan ni ang kaniyang salawal,hasn t changed his underwear for a week,usa ka semana nga wala gibag o ni ang iyang mga brief
kinalong niya ang kaniyang anak saka niya isinayawsayaw upang tumigil ang pag iyak nito,he hugged his son then danced to make him stop crying,gigakus niya ang iyang anak ug unya misayaw aron dili na siya makahilak
ihinehele niya ang maliit niyang anak upang makaturog ito,he was rocking his little son so he could sleep,giguyod niya sa pagkatulog ang iyang gamay nga anak nga lalaki
kaunti na lang matatapos na,just a little while it will be over,gamay ra mahuman na
malapit nang mapuno,almost full,moabot na dayon
marami ang naani naming palay,we harvested a lot of rice,nag ani kami daghang bugas
matamis ang nilagang bagong pitas na mais,the stewed freshly picked corn is sweet,tam is ang bag o nga gi laga nga bag ong ani nga mais
bakit napakapayat mo na,why are you so thin,nganung niwang ka
tumaba ka naman,you gained weight,ni tambok ka
kay sarap ng hilik ng natutulog na pusa,how delicious a sleeping cat snores,kung unsa ka lami ang paghagok sa natulog nga iring
kailan ka maliligo,when do you take a bath,kanus a ka maligo
kailangang aminin mo muna ang kasalanan mo bago kita patatawarin,you must first confess your sin before i will forgive you,kinahanglan mo una nga ikumpisal ang imong sala sa dili pa nako mapasaylo
wala akong dapat na ihingi ng kapatawaran,i have nothing to apologize for,wala akong dapat na ihingi ng kapatawaran
wala akong anumang nalalaman sa pinaggagawa ng tatay ko,i don t know anything about what my father does,wala akong anumang nalalaman sa pinaggagawa ng tatay ko
bata pa ako nang mangyari ang batas militar sa bansa,i was still young when martial law happened in the country,bata pa ako kaniadtong nahitabo ang martial law sa nasud
upang umunlad ang bayan disiplina ang kailangan,in order for the people to develop discipline is needed,upang umunlad ang bayan disiplina ang kailangan
pinahirapan muna nila ang bihag bago nila ito pinatay,they tortured the captive before they killed him,gipasakitan nila ang bihag sa wala pa nila siya gipatay
bawal ang pumuna,it is forbidden to criticize,dili gitugotan ang pagsaway
maganda ang buhay noong panahon ng batas militar sa bansa,life was good during the martial law era in the country,maayo ang kinabuhi sa panahon sa martial law sa nasud
ilan nang pangulo ng pilipinas ang nanungkulan bago si benigno simeon aquino iii,how many presidents of the philippines were in office before benigno simeon aquino iii,pila na ang mga pangulo sa pilipinas nga nagserbisyo sa wala pa si benigno simeon aquino iii
ang pangunahing layunin niya sa buhay ay ang maging mayaman,his main goal in life is to become rich,ang iyang panguna nga katuyoan sa kinabuhi mao ang mahimong adunahan
nasaan ang iyong sandata,where is your weapon,asa imong armas
nasaan ang iyong kabiyak,where is your spouse,asa ang imong kapikas
huwag mong paglaruan iyang susi,don t play with that key,ayaw pagdula sa kana nga yawi
umiinom ng tubig ang mga elepante,elephants drink water,ang mga elepante nag inom ug tubig
umiinom ako ng gatas,i drink milk,miinom ko og gatas
nagkakape ako,i m having coffee,naa koy kape
inihahabla sa pandarambong ang mga presidente ng pilipinas kapag natapos na nila ang kanilang panunungkulan,philippine presidents are prosecuted for plunder when they finish their term of office,ang mga presidente sa pilipinas gikiha alang sa piracy sa higayon nga mahuman nila ang ilang termino
tuwing halalan walang natatalong kandidato sa pilipinas nadadaya lamang,every election no candidate loses in the philippines only cheated,sa matag piliay wala y pilde nga kandidato sa pilipinas ang pagpanikas ra
wala akong ganoon kadaming pera na kagaya ng iniisip mo,i don t have as much money as you think,wala koy daghang salapi sa imong gihunahuna
kailangan ko nang matulog,i need to sleep,kinahanglan kong matulog
matutulog na ako,i m going to sleep,matulog na ko
nabigla si nang malaman niyang nakipagkantutan si sa pinsan nito,was shocked when she found out that had sex with her cousin,nakurat si pagkahibalo nga nakigsekso si sa iyang ig agaw
kapag nakipagkantutan ang isang babae sa unang pagkakataon napupunit ang kaniyang hymen at siya ay dinudugo,when a woman has sex for the first time her hymen tears and she bleeds,kapag nakipagkantutan ang isang babae sa unang pagkakataon napupunit ang kaniyang hymen at siya ay dinudugo
ang isang posibleng hindi magandang epekto ng pildoras na pangkontraseptibo ay ang pagkawala ng libog,a possible side effect of the birth control pill is loss of libido,ang usa ka posible nga epekto sa contraceptive pill mao ang pagkawala sa libido
pagkatapos naming magkantutan sa puwit ng aking nobya karaniwang kailangan naming maghugas na mabuti,after we fuck my girlfriend s ass we usually have to do a good wash,pagkahuman nga gihugpaan namon ang asno sa akong hinigugma kasagaran kinahanglan nga maghugas kami nga maayo
ang akala ko ay minamahal niya ako ngunit ang totoo y ibig lamang niyang makipagkantutan sa akin,i thought he loved me but the truth is he just wanted to fuck me,gihunahuna ko nga gihigugma niya ako apan gusto lang gyud niya nga mangulitawo ako
sa aking daan pauwi nakasalubong ako ng magandang dalaga,on my way home i met a beautiful young woman,sa akong pagpauli nahimamat nako ang usa ka maanyag nga babaye
dumadaloy sa aking mga ugat ang dugo ng mga bayani,the blood of heroes flows through my veins,ang dugo sa mga bayani nag agay sa akong mga ugat
maraming panauhin ang pumunta sa kasal ni,many guests came to s wedding,daghang mga bisita ang nangadto sa kasal ni
dumating siyang may bitbit ng pinamalengkehan niyang biyas ng baka,he came carrying the beef he had marketed,mianhi siya dala ang gibaligya nga paa sa baka
tayong dalawa ang pupunta,the two of us will go,mangadto ming duha
pareho tayo ng kapalaran,we have the same fate,pareho kami g kapalaran
baunin natin iyang inihaw na hito,let s eat that grilled catfish,baunon nato ang sinugba nga hito
sumama akong manligaw,i came to flirt,niadto ko sa ga panguyab sa akoa
sila ang mga taong dinidiyos,they are the deified people,sila ang mga tawo nga gipakadiyos
lupa namin ang kinatayuan ng bahay ni,s house is our land,yuta namo ang gi tukuran ug balay ni
magaling mag araro si,is a good plowman,maayo si sa pagdaro
nag ulam kami ng binulanlang na gabi,we had a blessed night,nag alagad kami sa usa ka malimbongong gabii
isinilang ako sa buwan ng oktobre,i was born in the month of october,natawo ko kaniadtong buwan sa oktubre
magaganda ang mga kadalagahan nila sa nayon na iyon,their maidens were beautiful in that village,adunay sila mga gwapa nga babaye sa kana nga baryo
mangga namin ang mga nasa gilid ng kalsada,we love the ones on the side of the road,mangga namon ang mga sa daplin sa dalan
ngayon ka lang ba uminom ng alak,did you just drink alcohol today,nag inom ka ra ba og alkohol karon
ikaw ang nahirang na mamumuno,you are the chosen leader,ikaw ang gitudlo nga lider
takot ako sa gagamba,i m afraid of spiders,nahadlok ako sa mga lawalawa
ikaw ang napiling magtatalumpati,you are the chosen speaker,ikaw ang gipili nga mamumulong
nasa bahay ako,i m at home,naa ko sa balay
kahapon lang siya pumunta dito,he came here just yesterday,kagahapon lang siya ning anhi
daytoy ti kapintasan a kamera iti pagtagilakuan,that s the flaw in the camera s handling,daytoy ti kapintasan a kamera iti pagtagilakuan
kuwento lamang noong unang panahon ang narinig mong iyan,you only heard that story in the old days,nabati na nimo kana nga istorya sa karaan nga mga adlaw
naligo na ako nang tatlong beses pero naiinitan pa rin ako,i ve showered three times but i m still hot,tulo ka beses ako naligo apan igangan gihapon ako
pumunta ako sa bayan upang maghulog ng liham,i went to town to drop off a letter,miadto ako sa lungsod aron ihulog ang usa ka sulat
gutom ako kaya kinain ko ang natirang ulam,i was hungry so i ate the leftover dish,gigutom ako busa gikaon ko ang nahabilin nga pinggan
gutom na gutom ako kaya inubos ko ang isang kalderong kanin,i was so hungry that i finished a pot of rice,gigutom ako kaayo nga nakahurot ako usa ka kolon nga bugas
napakasarap ng tulog ko kaya hindi ko namalayang naihi ako sa aking higaan,i slept so well that i didn t realize i peed on my bed,nakatulog ako nga maayo nga wala ko nahibal an nga nanahi ako sa akong higdaan
inaantok ako kapag ganyang alas dos hanggang alas tres ng hapon,i m sleepy like that from two to three in the afternoon,nahinanok ako sa alas dos hangtod tres sa hapon
nauubos ang pera ko kabibili ng libro,i run out of money to buy books,nahutdan ako salapi aron makapalit usa ka libro
ipinagyayabang ni ang malaki daw niyang titi,brags about his big cock,gipanghambog ni ang bahin sa iyang dakong oten
maraming naikukuwento si kung ang usapan ay tungkol sa kantutan,has a lot to say when it comes to sex,daghan ang gisulti ni bahin sa kayatan
kakaunti ang bilang ng tamod ni kaya nahihirapan siyang makabuntis,s sperm count is low so he has trouble getting pregnant,gamay ra ang tulos na mugawas kay maong dili niya mabuntis si
hubo t hubad si kung matulog,is naked when he sleeps,wala y sulob na sanina si kung matulog
hindi nasiyahan si kahit buong gabi silang nagkantutan ni,was not satisfied even though she and had sex all night,wala nalipay si bisan tibuok gabii siya nakighilawas kay
nahuli ng pulis sina at na nagkakantutan sa kotse,the police caught and having sex in the car,nadakpan sa mga pulis si ug nga nakighilawas sa usa g usa sulod sa sakyanan
sinulat ni ang kantang iyan tatlong taon na ang nakalipas,wrote that song three years ago,gisulat na ni nga kanta tulo na katuig ang nilabay
pinagupitan ko na ang aking mahabang buhok,i cut my long hair,gipagupitan na nako akong taas na buhok
binunot ko lahat ang buhok sa aking kilikili,i pulled out all the hair in my armpits,gibunlot na nako tanan buhok sa akong ilok
ginupit ko ang makapal na bulbol ko,i cut my thick hair,gigupit na nako akong baga na bulbol
palihim na tinamnan ng mga guwardiya sa paliparan ng isang bala ng ang bag ni,airport guards secretly planted a bullet in s bag,pasikreto nga gitanoman sa mga gwardiya ug kalibre bayntes dos nga bala sa balay tugpahanan ang bag ni
paulit ulit nilang sinasabing matuwid daw ang daan ngunit liko liko naman ito,they keep saying that the road is straight but it is winding,kapila nila gibalik ug sulti na maayo ang dalan pero paliko liko diay
may mga puno ng kamatsili sa tabi ng kastilyo,there are tamarisk trees next to the castle,adunay mga punoan sa sampalok tapad sa kastilyo
may mga puno ng kamatsili sa likod ng kastilyo,there are tamarisk trees behind the castle,adunay mga punoan sa sampalok likod sa kastilyo
may mga puno ng kamatsili sa tabi ng mga bintana ng kastilyo,there are tamarisk trees by the windows of the castle,adunay mga punoan sa sampalok tapad sa mga bintana sa kastilyo
may mga puno ng kamatsili sa pagitan ng mga estatwa ng kastilyo,there are tamarisk trees between the castle statues,adunay mga punoan sa sampalok nga napatungaan sa mga estatwa sa kastilyo
may mga puno ng kamatsili sa burol ng kastilyo,there are tamarisk trees on the castle hill,adunay mga punoan sa sampalok sa bungtod sa kastilyo
may mga puno ng kamatsili sa tapat ng bakuran ng kastilyo,there are tamarisk trees opposite the castle grounds,adunay mga puno sa sampalok atbang sa nataran sa kastilyo
may mga puno ng kamatsili sa tabi ng bukal ng kastilyo,there are tamarisk trees by the castle fountain,adunay mga puno sa sampalok tapad sa sapa sa kastilyo
may mga puno ng sinigwelas sa tabi ng kastilyo,there are sinigwelas trees next to the castle,adunay mga punoan sa sinegwelas tapad sa kastilyo
may mga puno ng sinigwelas sa tabi ng burol ng kastilyo,there are sinigwelas trees by the castle hill,adunay mga punoan sa sinegwelas tapad sa bungtod sa kastilyo
may mga puno ng sinigwelas sa tabi ng bukal ng kastilyo,there are sinigwelas trees by the castle fountain,adunay mga punoan sa sinegwelas tapad sa sapa sa kastilyo
may mga puno ng sinigwelas sa tabi ng bakuran ng kastilyo,there are sinigwelas trees next to the castle grounds,adunay mga punoan sa sinegwelas tapad sa nataran sa kastilyo
may mga puno ng sinigwelas sa tabi ng estatwa ng kastilyo,there are sinigwelas trees next to the castle statue,adunay mga punoan sa sinegwealas tapad sa estatwa sa kastilyo
may mga puno ng sinigwelas sa likod ng kastilyo,there are sinigwelas trees behind the castle,adunay mga punoan sa sinegwelas likod sa kastilyo
may mga puno ng sinigwelas sa tabi ng mga bintana ng kastilyo,there are sinigwelas trees by the windows of the castle,adunay mga punoan sa sinegwelas tapad sa bintana sa kastilyo
may mga puno ng sinigwelas sa tabi ng batis ng kastilyo,there are sinigwelas trees by the stream of the castle,adunay mga punoan sa sinegwelas tapad sa sapa sa kastilyo
may mga puno ng sinigwelas sa burol ng kastilyo,there are sinigwelas trees on the castle hill,adunay mga punoan sa sinegwealas sa bungtod sa kastilyo
may mga puno ng sinigwelas sa pagitan ng mga estatwa ng kastilyo,there are sinigwelas trees between the castle statues,adunay mga punoan sa sinegwelas nga natungaan sa estatwa sa kastilyo
kumain ako nang marami bago ako naglakbay,i ate a lot before i traveled,nikaon usa kog daghan bago ko mibiyahe
hindi ako napilit ni na lumagda sa kasulatan,did not force me to sign the deed,wala ko napugos ni nga mupirma sa kasabutan
hindi ako pumunta sa pagpupulong na ipinatawag ni,i didn t go to the meeting called by,wala ko niadto sa gipatawag ni na panagipon
nagpunta akong mag aral sa bayan ng pinili,i went to study in the town of pinili,niadto kos lungsod sa pinili aron mag eskwela
kahit sampung libong pangungusap lamang ang maidagdag ko bago magtapos ang taon,even if i can only add ten thousand sentences before the end of the year,bahalag napulo ka libo
may lumagot sa tali,someone broke the rope,naa y nibali sa pisi
binalak ni ang magpatiwakal nang malaman niyang nakikipagkantutan si sa dati nitong kasintahan,planned to commit suicide when he found out that was having sex with her ex girlfriend,nagbalak si nga maghikog sukad nahibalan niya nga nakighilawas si sa iyang dating nobyo
nabaliw si dahil binigo ni ang kaniyang pag ibig,went crazy because failed his love,nabuang si kay nasayaop ni iyang pag higugma kaniya
hiniwalayan ni si nang malaman niyang baog ito,divorced when she found out he was barren,gibulagan ni si pagkahibalo nga baog diay siya
maliban kay na nobya niya may iba pang kasintahan si si na kapareho niyang lalaki,besides his bride has another lover who is the same boy as him,gawas kay nga iyahang nobya naa pa dunay lahi na uyab si si na parehas niya lalaki
nakipaghiwalay si kay nang mapatunayan niyang isa itong biseksual,broke up with when she found out he was bisexual,nakigbulag si kay apan napamatud an niini nga isa siya ka biseksual
hindi na kahihiyan ngayon ang pagiging isang bakla,being gay is no longer a shame,dili na ikaulaw karon na panahon ang pagka bayot
kalimitang ang isang lalaking galit sa bakla ay isa rin lamang nagtatagong bakla,usually a man who hates gays is also just a closeted gay,kasagaran sa mga lalaki nga adunay dako nga kasuko sa mga bayot kay mao say bayot nga gatago lang
masaya sina at bilang mag asawa sa kabila ng katotohanang bakla at tomboy sila,and are happy as a couple despite the fact that they are gay and lesbian,malipayon si ug ingon usa ka magtiayon sa pikas na kamatuoran nga sila kay bayot ug tomboy
magaling si na magsupsop ng titi,is good at sucking cock,hawod muchupa ug oten si
mas gusto ni na kasintahan ang isang bakla,prefers a gay boyfriend,mas gusto ni na bayot iyang nobyo
mas gusto ni na kasintahan ang isang tomboy,prefers a gay boyfriend,mas gusto ni ug uyabna tomboy
nagkabulutong ako noong bata ako,i had chicken pox when i was a child,nagka samad sama ko atung bata pako
kaya patpatin si ay dahil marami siyang bulate sa tiyan,so pat because he has a lot of worms in his stomach,maong payat si kay daghan siyag bitok sa tiyan
kung may makita ngayong isang magandang babae hindi mo na mawari kung babai ba talaga ito o isang lalaki,if you see a beautiful woman today you won t be able to tell if it s really a woman or a man,kung naa moy makita nga gwapang babaye karun na panahon di na nimo mahibalan kung babaye ba o lalake
iginagalang ko ang karapatan nila bilang tao ang mga bakla tomboy at nagpalit ng kasarian,i respect the rights of gays lesbians and transsexuals as human beings,gina respeto nako ang mga karapatan sa mga bayot tomboy ug mga nagkambyo ug pagkatao
hindi pa inililibing ang bangkay niya kahit ilang dekada nang nakaburol ito,his body has not been buried even though it has been buried for decades,wala pa gilubong ang iyang patay na lawas miskag pila na ka dekada ang nilabay
